t=2025-11-26T22:17:12+0300 lvl=info msg="no configuration paths supplied"
t=2025-11-26T22:17:12+0300 lvl=info msg="using configuration at default config path" path="/Users/eli/Library/Application Support/ngrok/ngrok.yml"
t=2025-11-26T22:17:12+0300 lvl=info msg="open config file" path="/Users/eli/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-11-26T22:32:20+0300 lvl=info msg="join connections" obj=join id=2fe8253be87d l=127.0.0.1:3000 r=62.84.96.86:54826
t=2025-11-26T22:32:21+0300 lvl=info msg="join connections" obj=join id=65cf3dd6369b l=127.0.0.1:3000 r=62.84.96.86:42866
t=2025-11-26T22:32:21+0300 lvl=info msg="join connections" obj=join id=1d093a6d2a5f l=127.0.0.1:3000 r=62.84.96.86:42866
t=2025-11-26T22:32:21+0300 lvl=info msg="join connections" obj=join id=51bb955f3dea l=127.0.0.1:3000 r=62.84.96.86:42866
t=2025-11-26T22:32:22+0300 lvl=info msg="join connections" obj=join id=5699cb91a4fe l=127.0.0.1:3000 r=62.84.96.86:33810
t=2025-11-26T22:35:37+0300 lvl=info msg="join connections" obj=join id=4d21edec69cb l=127.0.0.1:3000 r=62.84.96.86:54196
t=2025-11-26T22:35:38+0300 lvl=info msg="join connections" obj=join id=2196f9bdb594 l=127.0.0.1:3000 r=62.84.96.86:55784
t=2025-11-26T22:35:38+0300 lvl=info msg="join connections" obj=join id=745b6e70f2fd l=127.0.0.1:3000 r=62.84.96.86:55784
t=2025-11-26T22:35:38+0300 lvl=info msg="join connections" obj=join id=9dc4b3925fd8 l=127.0.0.1:3000 r=62.84.96.86:55784
t=2025-11-26T22:35:39+0300 lvl=info msg="join connections" obj=join id=fead4efc7c7f l=127.0.0.1:3000 r=62.84.96.86:34676
t=2025-11-26T22:36:24+0300 lvl=info msg="join connections" obj=join id=4dcd4afc1ca7 l=127.0.0.1:3000 r=62.84.96.86:60826
t=2025-11-26T22:36:25+0300 lvl=info msg="join connections" obj=join id=d856042434b5 l=127.0.0.1:3000 r=62.84.96.86:34860
t=2025-11-26T22:36:25+0300 lvl=info msg="join connections" obj=join id=bd4f13ebf336 l=127.0.0.1:3000 r=62.84.96.86:34860
t=2025-11-26T22:36:25+0300 lvl=info msg="join connections" obj=join id=fdeab4164e72 l=127.0.0.1:3000 r=62.84.96.86:34860
t=2025-11-26T22:36:25+0300 lvl=info msg="join connections" obj=join id=5d1c3a92fa5f l=127.0.0.1:3000 r=62.84.96.86:34860
t=2025-11-26T22:36:26+0300 lvl=info msg="join connections" obj=join id=9bba587af6b1 l=127.0.0.1:3000 r=62.84.96.86:47170
t=2025-11-26T22:39:55+0300 lvl=info msg="join connections" obj=join id=de3ff2d66bc5 l=127.0.0.1:3000 r=62.84.96.86:39070
t=2025-11-26T22:39:56+0300 lvl=info msg="join connections" obj=join id=304c2aa08c54 l=127.0.0.1:3000 r=62.84.96.86:39070
t=2025-11-26T22:41:37+0300 lvl=info msg="join connections" obj=join id=754c39c3b55e l=127.0.0.1:3000 r=62.84.96.86:48622
t=2025-11-26T22:41:38+0300 lvl=info msg="join connections" obj=join id=366ec5ca03b4 l=127.0.0.1:3000 r=62.84.96.86:56392
t=2025-11-26T22:41:39+0300 lvl=info msg="join connections" obj=join id=5653e0bd516e l=127.0.0.1:3000 r=62.84.96.86:56392
t=2025-11-26T22:41:39+0300 lvl=info msg="join connections" obj=join id=f32cb1d6aa3c l=127.0.0.1:3000 r=62.84.96.86:56392
t=2025-11-26T22:41:39+0300 lvl=info msg="join connections" obj=join id=2de0049195cd l=127.0.0.1:3000 r=62.84.96.86:38900
t=2025-11-26T22:42:37+0300 lvl=info msg="join connections" obj=join id=32b3400e7043 l=127.0.0.1:3000 r=62.84.96.86:50314
t=2025-11-26T22:42:38+0300 lvl=info msg="join connections" obj=join id=915f084f3986 l=127.0.0.1:3000 r=62.84.96.86:57832
t=2025-11-26T22:42:38+0300 lvl=info msg="join connections" obj=join id=ca9a89d2d611 l=127.0.0.1:3000 r=62.84.96.86:57832
t=2025-11-26T22:42:38+0300 lvl=info msg="join connections" obj=join id=3189207b2a90 l=127.0.0.1:3000 r=62.84.96.86:57832
t=2025-11-26T22:42:38+0300 lvl=info msg="join connections" obj=join id=2caecb83f661 l=127.0.0.1:3000 r=62.84.96.86:57832
t=2025-11-26T22:42:39+0300 lvl=info msg="join connections" obj=join id=2bd46d17b9a7 l=127.0.0.1:3000 r=62.84.96.86:50324
t=2025-11-26T22:44:33+0300 lvl=info msg="join connections" obj=join id=5b0853420083 l=127.0.0.1:3000 r=62.84.96.86:45152
t=2025-11-26T22:44:34+0300 lvl=info msg="join connections" obj=join id=8e511087d84e l=127.0.0.1:3000 r=62.84.96.86:45152
t=2025-11-26T22:44:52+0300 lvl=info msg="join connections" obj=join id=ad04e59f2e40 l=127.0.0.1:3000 r=62.84.96.86:34852
t=2025-11-26T22:46:37+0300 lvl=info msg="join connections" obj=join id=33b71cdccf3e l=127.0.0.1:3000 r=62.84.96.86:41116
t=2025-11-26T22:46:39+0300 lvl=info msg="join connections" obj=join id=d537108914b8 l=127.0.0.1:3000 r=62.84.96.86:54666
